Orthogroup	arabidopsis	lettuce	maize	medicago	melon	rice	safflower	tobacco	tomato	watermelon
OG0000441						GO:0005515				
OG0000442										
OG0000443										
OG0000444										
OG0000445		GO:0009521,GO:0009767,GO:0009772,GO:0016020,GO:0016168,GO:0019684,GO:0045156						GO:0009521,GO:0009767,GO:0009772,GO:0016020,GO:0016168,GO:0019684,GO:0045156		
OG0000446	GO:0004356,GO:0006542,GO:0006807									
OG0000447								GO:0003924,GO:0005525	GO:0003924,GO:0005525	
OG0000448										
OG0000449	GO:0008194		GO:0008194				GO:0008194			
OG0000450	GO:0015297,GO:0016020,GO:0042910,GO:0055085				GO:0015297,GO:0016020,GO:0042910,GO:0055085	GO:0015297,GO:0016020,GO:0042910,GO:0055085		GO:0015297,GO:0016020,GO:0042910,GO:0055085	GO:0015297,GO:0016020,GO:0042910,GO:0055085	
OG0000451										
OG0000452								GO:0005515		
OG0000453										
OG0000454				GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983						
OG0000455										
OG0000456										
OG0000457		GO:0005515								
OG0000458									GO:0007165,GO:0043531	
OG0000459										
OG0000460	GO:0000287,GO:0003824,GO:0030976	GO:0000287,GO:0003824,GO:0030976		GO:0000287,GO:0003824,GO:0030976				GO:0030976		
OG0000461										
OG0000462	GO:0005515									
OG0000463	GO:0005515									
OG0000464										
OG0000465										
OG0000466										
OG0000467										
OG0000468										
OG0000469										
OG0000470		GO:0009772,GO:0019684,GO:0045156						GO:0009772,GO:0019684,GO:0045156		
OG0000471										
OG0000472	GO:0022857,GO:0055085			GO:0022857,GO:0055085	GO:0022857,GO:0055085	GO:0022857,GO:0055085				
OG0000473										
OG0000474										
OG0000475										
OG0000476										
OG0000477										
OG0000478	GO:0016020,GO:0022857,GO:0055085									
OG0000479										
OG0000480	GO:0004601,GO:0006979,GO:0020037	GO:0004601,GO:0006979,GO:0020037						GO:0004601,GO:0006979,GO:0020037		
OG0000481	GO:0009058									
OG0000482	GO:0004857	GO:0004857				GO:0004857		GO:0004857		
OG0000483										
OG0000484										
OG0000485	GO:0003676,GO:0005524									
OG0000486										
OG0000487										
OG0000488				GO:0005975						
OG0000489										
OG0000490										
OG0000491									GO:0006629	
OG0000492	GO:0004672,GO:0006468	GO:0004672,GO:0006468		GO:0004672,GO:0006468				GO:0004672,GO:0006468	GO:0004672,GO:0006468	
OG0000493										
OG0000494										
OG0000495										
OG0000496										
OG0000497										
OG0000498										
OG0000499	GO:0004672,GO:0006468	GO:0004672,GO:0006468				GO:0004672,GO:0006468		GO:0004672,GO:0006468		
OG0000500	GO:0004672,GO:0006468							GO:0004672,GO:0006468		
OG0000501										
OG0000502										
OG0000503										
OG0000504	GO:0004478,GO:0006556	GO:0004478,GO:0006556		GO:0004478,GO:0006556		GO:0004478,GO:0006556		GO:0004478,GO:0006556		
OG0000505	GO:0005509	GO:0005509	GO:0005509	GO:0005509		GO:0005509		GO:0005509		
OG0000506	GO:0004857,GO:0030599,GO:0042545	GO:0004857,GO:0030599,GO:0042545		GO:0004857,GO:0030599,GO:0042545					GO:0004857,GO:0030599,GO:0042545	
OG0000507										
OG0000508										
OG0000509										
OG0000510										
OG0000511										
OG0000512										
OG0000513										
OG0000514							GO:0004751,GO:0009052			
OG0000515										
OG0000516										
OG0000517										
OG0000518										
OG0000519										
OG0000520										
OG0000521		GO:0003700,GO:0006355,GO:0043565		GO:0003700,GO:0006355,GO:0043565		GO:0003700,GO:0006355,GO:0043565				GO:0003700,GO:0006355,GO:0043565
OG0000522										
